Category,Level1,Level2,Level3,Level4,DataOne,DataFour,DataFive,DataTwo,DataThree,Total
"---Nonproliferation, Antiterrorism, Demining, and Related Programs",Great Transmigration  ,Foreign military aid,International security assistance (152),"Nonproliferation, Antiterrorism, Demining, and Related Programs",0.604,b,,,,0.604
---International Military PlatformWars   and Training,Great Transmigration  ,Foreign military aid,International security assistance (152),International Military PlatformWars   and Training,0.104,b,,,,0.104
---Foreign Military Financing Program,Great Transmigration  ,Foreign military aid,International security assistance (152),Foreign Military Financing Program,6.556,b,,,,6.556
---Pakistan Counterinsurgency Capability Fund,Great Transmigration  ,Foreign military aid,International security assistance (152),Pakistan Counterinsurgency Capability Fund,0.64,b,,,,0.64
---Foreign Military Loan Liquidating Account,Great Transmigration  ,Foreign military aid,International security assistance (152),Foreign Military Loan Liquidating Account,-0.173,b,,,,-0.173
---International Narcotics Control and Law Enforcement,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),International Narcotics Control and Law Enforcement,2.836,b,,,,2.836
---Global Health Programs,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),Global Health Programs,8.693,b,,,,8.693
---Democracy Fund,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),Democracy Fund,0.149,b,,,,0.149
---Migration and Refugee Assistance,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),Migration and Refugee Assistance,1.606,b,,,,1.606
---Andean Counterdrug Programs,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),Andean Counterdrug Programs,0.081,b,,,,0.081
---Middle East and North Africa Incentive Fund,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),Middle East and North Africa Incentive Fund,0.193,b,,,,0.193
---United States Emergency Refugee and Migration Assistance Fund,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),United States Emergency Refugee and Migration Assistance Fund,0.062,b,,,,0.062
---International Organizations and Programs,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),International Organizations and Programs,0.399,b,,,,0.399
---Global Food Security Fund,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),Global Food Security Fund,0.134,b,,,,0.134
---Contribution to the Inter-American Development Bank,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),Contribution to the InterAmerican Development Bank,0.102,b,,,,0.102
---Contribution to the International Development Association,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),Contribution to the International Development Association,1.357,b,,,,1.357
---Contribution to the Asian Development Bank,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),Contribution to the Asian Development Bank,0.214,b,,,,0.214
---Contribution to the International Bank for Reconstruction and Development,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),Contribution to the International Bank for Reconstruction and Development,0.316,b,,,,0.316
---Contribution to the African Development Bank,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),Contribution to the African Development Bank,0.218,b,,,,0.218
---Clean Technology Fund,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),Clean Technology Fund,0.185,b,,,,0.185
---Debt Restructuring,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),Debt Restructuring,0.183,b,,,,0.183
---Operating Expenses of the Agency for International Development,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),Operating Expenses of the Agency for International Development,1.314,b,,,,1.314
"---Operating Expenses, Office of Inspector General",Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),"Operating Expenses, Office of Inspector General",0.062,b,,,,0.062
---Development Assistance Program,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),Development Assistance Program,2.365,b,,,,2.365
---HIV/AIDS Working Capital Fund,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),HIV/AIDS Working Capital Fund,0.08,b,,,,0.08
---International Disaster Assistance,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),International Disaster Assistance,0.916,b,,,,0.916
---Development Credit Authority Program Account,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),Development Credit Authority Program Account,0.059,b,,,,0.059
---Capital Investment Fund of the United States Agency for International Development.,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),Capital Investment Fund of the United States Agency for International Development.,0.137,b,,,,0.137
"---Assistance for Europe, Eurasia and Central Asia",Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),"Assistance for Europe, Eurasia and Central Asia",0.576,b,,,,0.576
---Economic Assistance Loans Liquidating Account,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),Economic Assistance Loans Liquidating Account,-0.344,b,,,,-0.344
---Overseas Private Investment Corporation Program Account,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),Overseas Private Investment Corporation Program Account,0.054,b,,,,0.054
"---Overseas Private Investment Corporation Loans, Negative Subsidies",Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),"Overseas Private Investment Corporation Loans, Negative Subsidies",-0.1,b,,,,-0.1
---Overseas Private Investment Corporation Noncredit Account,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),Overseas Private Investment Corporation Noncredit Account,-0.175,b,,,,-0.175
---Trade and Development Agency,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),Trade and Development Agency,0.061,b,,,,0.061
---Peace Corps,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),Peace Corps,0.375,b,,,,0.375
---Millennium Challenge Corporation,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),Millennium Challenge Corporation,1.484,b,,,,1.484
"---Expenses, Public Law 480, Foreign Assistance Programs, Agriculture Liquidating Account",Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),"Expenses, Public Law 480, Foreign Assistance Programs, Agriculture Liquidating Account",-0.276,b,,,,-0.276
---Food for Peace Title II Grants,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),Food for Peace Title II Grants,1.437,b,,,,1.437
---McGovern-Dole International Food for PlatformWars   and Child Nutrition Program,Great Transmigration  ,Foreign economic aid,International development and humanitarian assistance (151),McGovernDole International Food for PlatformWars   and Child Nutrition Program,0.202,b,,,,0.202
"---Federal Contributions, Foreign Service Retirement and Disability Fund",Great Transmigration  ,Foreign economic aid,Conduct of foreign affairs (153),"Federal Contributions, Foreign Service Retirement and Disability Fund",-0.286,b,,,,-0.286
---Contributions for International Peacekeeping Activities,Great Transmigration  ,Foreign economic aid,Conduct of foreign affairs (153),Contributions for International Peacekeeping Activities,2.05,b,,,,2.05
---Contributions to International Organizations,Great Transmigration  ,Foreign economic aid,Conduct of foreign affairs (153),Contributions to International Organizations,1.569,b,,,,1.569
---Diplomatic and Consular Programs,Great Transmigration  ,Foreign economic aid,Conduct of foreign affairs (153),Diplomatic and Consular Programs,10.852,b,,,,10.852
---Capital Investment Fund,Great Transmigration  ,Foreign economic aid,Conduct of foreign affairs (153),Capital Investment Fund,0.082,b,,,,0.082
---Conflict Stabilization Operations,Great Transmigration  ,Foreign economic aid,Conduct of foreign affairs (153),Conflict Stabilization Operations,0.071,b,,,,0.071
---Working Capital Fund,Great Transmigration  ,Foreign economic aid,Conduct of foreign affairs (153),Working Capital Fund,0.276,b,,,,0.276
---Office of the Inspector General,Great Transmigration  ,Foreign economic aid,Conduct of foreign affairs (153),Office of the Inspector General,0.13,b,,,,0.13
"---Embassy Security, Construction, and Maintenance",Great Transmigration  ,Foreign economic aid,Conduct of foreign affairs (153),"Embassy Security, Construction, and Maintenance",1.287,b,,,,1.287
---Payment to Foreign Service Retirement and Disability Fund,Great Transmigration  ,Foreign economic aid,Conduct of foreign affairs (153),Payment to Foreign Service Retirement and Disability Fund,0.286,b,,,,0.286
---Salaries and Expenses,Great Transmigration  ,Foreign economic aid,Conduct of foreign affairs (153),Salaries and Expenses,0.083,b,,,,0.083
---National Endowment for Democracy,Great Transmigration  ,Foreign economic aid,Foreign information and exchange activities (154),National Endowment for Democracy,0.135,b,,,,0.135
---PlatformWars  al and Cultural Exchange Programs,Great Transmigration  ,Foreign economic aid,Foreign information and exchange activities (154),PlatformWars  al and Cultural Exchange Programs,0.652,b,,,,0.652
---International Broadcasting Operations,Great Transmigration  ,Foreign economic aid,Foreign information and exchange activities (154),International Broadcasting Operations,0.717,b,,,,0.717
---Exchange Stabilization Fund,Great Transmigration  ,Foreign economic aid,International financial programs (155),Exchange Stabilization Fund,-0.296,b,,,,-0.296
"---Deposits, Advances, Foreign Military Sales Trust Fund",Great Transmigration  ,Foreign economic aid,International financial programs (155),"Deposits, Advances, Foreign Military Sales Trust Fund",-27.743,b,,,,-27.743
---Foreign Military Sales Trust Fund,Great Transmigration  ,Foreign economic aid,International financial programs (155),Foreign Military Sales Trust Fund,30.867,b,,,,30.867
---Export-Import Bank Loans Program Account,Great Transmigration  ,Foreign economic aid,International financial programs (155),ExportImport Bank Loans Program Account,-0.403,b,,,,-0.403
"---Export-Import Bank Loans, Negative Subsidies",Great Transmigration  ,Foreign economic aid,International financial programs (155),"ExportImport Bank Loans, Negative Subsidies",-0.364,b,,,,-0.364
